Year,Distance,Engine_capacity(cm3),km_year
2007,310000,1500,20666
2016,49500,1500,8250
2012,90981,1798,9098
2014,201000,1800,25125
2015,147000,1500,21000
2016,120000,1600,20000
2002,168700,1200,8435
2003,293000,2189,15421
2013,67000,1200,7444
2014,256000,2500,32000
2010,220458,2500,18371
2006,230000,2000,14375
2019,16700,3000,5566
2015,180000,1400,25714
2012,230000,1500,23000
2006,199000,3000,12437
1994,260000,2000,9285
2013,256212,1200,28468
2000,270000,1900,12272
2008,123000,3596,8785
1995,400000,2000,14814
2007,227000,1500,15133
2012,226000,1400,22600
2016,139000,1500,23166
2016,86200,2500,14366
2007,26700,1451,1780
2006,243000,2500,15187
2016,25000,2500,4166
2017,85300,3000,17060
2017,120000,1600,24000
2007,111000,1500,7400
2011,141000,1600,12818
2014,169000,1400,21125
2012,273000,2000,27300
2012,220000,2200,22000
2003,266000,1900,14000
2018,25300,2000,6325
2010,190111,1400,15842
2009,180000,1896,13846
2012,189000,2500,18900
2005,123000,1900,7235
2011,216500,2000,19681
2013,217000,3000,24111
2005,154000,1400,9058
2009,319000,1400,24538
2004,123000,1600,6833
2006,220000,2700,13750
2013,40000,2000,4444
2008,190200,1300,13585
2005,254444,2000,14967
2019,43000,1460,14333
2014,62000,1500,7750
2017,18900,999,3780
2015,156000,1500,22285
2011,260000,1999,23636
2012,202000,2231,20200
2009,108000,1400,8307
2004,220951,1800,12275
2016,77220,2000,12870
2017,119000,1500,23800
2014,243000,1598,30375
2011,180000,1200,16363
2014,137000,1400,17125
2006,60000,1500,3750
2010,173000,1500,14416
2002,155000,1600,7750
2019,19000,2000,6333
2008,235000,2200,16785
2006,2440,1500,152
2005,283000,1600,16647
2016,180000,2000,30000
2011,222000,1300,20181
2008,256000,1800,18285
2003,105000,1400,5526
2000,123456,2000,5611
2014,184000,1400,23000
2013,160000,999,17777
2004,300000,1900,16666
1999,270000,2400,11739
2012,249758,1598,24975
2016,128100,1597,21350
2016,170000,1500,28333
2016,178508,1500,29751
1998,372000,1600,15500
2009,223000,1500,17153
2006,120000,1568,7500
1993,299999,1600,10344
2012,175120,2200,17512
2017,145000,2000,29000
2011,157000,1200,14272
2013,280033,2199,31114
2014,160000,1500,20000
2007,339000,2200,22600
2007,229000,1400,15266
2007,163253,1800,10883
2002,214000,1200,10700
2007,210000,1600,14000
2002,30000,2400,1500
2007,231000,1500,15400
2017,88000,1998,17600
1984,200000,1600,5263
2005,260500,3000,15323
1986,142000,2000,3944
2010,224000,1200,18666
2018,84000,1199,21000
1996,250000,1800,9615
2007,222200,2000,14813
2019,65000,2993,21666
2008,300000,1600,21428
2001,287000,2000,13666
2005,140000,2400,8235
2015,195000,1600,27857
2012,145000,3000,14500
2010,118000,1400,9833
2016,153000,1461,25500
2004,239785,1991,13321
2009,145000,1300,11153
2017,79000,1400,15800
2009,120000,1200,9230
2011,181000,1500,16454
2012,160000,2000,16000
2011,126000,1800,11454
2019,21513,2000,7171
2008,250000,1600,17857
2016,35000,2000,5833
2016,179000,2000,29833
2013,33333,1444,3703
2009,230000,1500,17692
2018,45000,1800,11250
2002,186000,1400,9300
2006,195000,1800,12187
1997,356888,3400,14275
2009,78000,1200,6000
2014,150422,1800,18802
2001,290000,1600,13809
2000,300000,1800,13636
1998,283000,2000,11791
2015,185480,1461,26497
2001,200200,1800,9533
2016,158700,1500,26450
2004,340000,2000,18888
2013,200000,1200,22222
2003,10000,2000,526
2008,180000,1800,12857
2011,203150,2000,18468
1991,328000,3200,10580
2012,233097,1500,23309
2012,193649,1400,19364
2018,33000,1800,8250
2002,270000,1984,13500
2011,140000,1500,12727
2011,137000,1400,12454
2019,13000,999,4333
2008,300000,1500,21428
2020,30000,1500,15000
1993,200000,2000,6896
2006,280000,2497,17500
2005,19999,1700,1176
2010,180000,1600,15000
2011,185000,1200,16818
2014,140000,800,17500
2019,26000,1400,8666
2012,210000,1500,21000
2006,245455,1200,15340
2012,196134,1200,19613
2003,190000,2500,10000
2005,125123,1400,7360
2016,111111,1500,18518
2018,108700,1500,27175
2002,222222,1800,11111
1999,10000,2000,434
1992,458003,1998,15266
2007,250000,2000,16666
2011,1111,1800,101
2015,223000,1600,31857
2011,253434,1800,23039
2016,63000,3000,10500
2010,250000,2200,20833
2008,234549,1400,16753
2018,155349,1500,38837
2013,180000,1800,20000
2013,190000,1461,21111
2016,145000,1498,24166
2006,28000,1400,1750
2014,87000,2000,10875
2018,24466,2000,6116
2006,250000,2000,15625
2008,180000,1600,12857
2016,180000,1600,30000
2008,190000,1300,13571
2011,195000,1500,17727
2020,13600,1200,6800
2016,182504,2000,30417
2002,263205,1600,13160
2016,120000,1500,20000
2017,112500,2000,22500
2016,151130,1500,25188
2017,152214,1999,30442
2006,214567,1500,13410
2007,200000,2000,13333
2011,250000,1400,22727
2007,260000,1400,17333
2012,217000,1400,21700
1994,400000,4200,14285
2012,152000,1800,15200
2012,165000,1200,16500
2012,155150,1400,15515
2006,214567,1400,13410
2012,111896,1200,11189
2006,185000,2000,11562
2010,97000,1598,8083
2015,70000,1400,10000
2005,320000,1100,18823
2006,123000,2200,7687
2004,310000,2500,17222
1999,175000,1588,7608
2014,101739,2000,12717
1992,345278,2000,11509
2002,336368,1781,16818
2008,210000,3000,15000
2015,199821,3000,28545
2009,12456,1300,958
2012,170000,2000,17000
2013,221000,2000,24555
2007,278000,2500,18533
2014,226500,2000,28312
2008,252000,1349,18000
2011,168000,2000,15272
2016,105000,1800,17500
2016,70800,2500,11800
2018,115000,2000,28750
1999,406961,1905,17693
2016,129000,1600,21500
2001,380000,2200,18095
2016,114217,1500,19036
2017,80000,2000,16000
2014,135000,1200,16875
2008,200000,1596,14285
2007,173000,2200,11533
1988,325000,1300,9558
2014,83000,1700,10375
2001,230000,3500,10952
2008,207000,2700,14785
2015,140000,2000,20000
2017,153742,1500,30748
2004,213544,1400,11863
2018,48838,4400,12209
2006,225000,1300,14062
2008,225000,2000,16071
2008,194000,1400,13857
2005,220123,1896,12948
2009,58000,1000,4461
2010,180000,1596,15000
2008,195000,2000,13928
2004,400000,2000,22222
2003,300000,1868,15789
2006,192000,1999,12000
2017,37000,1600,7400
2008,180000,1600,12857
2006,272121,2000,17007
2014,120000,2000,15000
1996,18000,1400,692
2019,1851,1800,617
2014,163000,1798,20375
2011,148000,1400,13454
2007,186007,1400,12400
2006,85234,2800,5327
2018,115700,1500,28925
2017,98000,2000,19600
2004,320000,1998,17777
2013,170000,3000,18888
2004,260000,3000,14444
2000,45000,1500,2045
2003,175000,3000,9210
2011,185000,1200,16818
2007,211000,1400,14066
2006,162000,2200,10125
2006,2888,1400,180
2012,193000,2000,19300
2017,96000,2000,19200
2016,56000,1500,9333
2013,144444,1390,16049
2007,220000,1986,14666
2016,23000,1200,3833
2011,9999,1500,909
2010,205000,1500,17083
2014,97000,2000,12125
2017,100000,1999,20000
2016,52000,4300,8666
2012,182675,2000,18267
2015,151555,1800,21650
2006,360000,2998,22500
2000,265000,1200,12045
2013,171000,1368,19000
2017,46000,1000,9200
2018,58000,1998,14500
2004,254900,1400,14161
2013,151582,2000,16842
2014,285000,2200,35625
2009,150000,1400,11538
2005,265000,2200,15588
2002,260000,1900,13000
1998,187868,1900,7827
2017,138272,1500,27654
2008,126000,1997,9000
2010,182000,1800,15166
2011,162333,1500,14757
2007,397047,3600,26469
2011,202200,2993,18381
2017,134000,1500,26800
1997,320000,1900,12800
2013,110800,2500,12311
1993,262730,1781,9059
2017,160000,1500,32000
1982,300000,1600,7500
2011,169000,1300,15363
2014,292583,2200,36572
2011,164000,1400,14909
2011,17500,2000,1590
2018,45000,2199,11250
2009,214439,3000,16495
2000,175000,2000,7954
2007,200000,1400,13333
2010,25000,1300,2083
2010,265000,2000,22083
2020,100000,3456,50000
2012,135000,1400,13500
2015,158799,1798,22685
2011,200050,1500,18186
2015,136212,1200,19458
2018,41000,2199,10250
2012,110000,998,11000
2006,306000,2000,19125
2014,194000,2000,24250
2000,300000,1600,13636
2011,150333,1600,13666
2016,180000,1500,30000
2006,155000,3497,9687
2016,162300,2200,27050
2012,178260,2000,17826
1994,346000,1984,12357
2008,135000,2400,9642
2006,265000,1995,16562
1996,390000,1800,15000
2010,134504,1200,11208
2007,148694,2400,9912
2007,145000,1400,9666
2012,90805,2000,9080
2000,289494,2500,13158
2011,114000,2400,10363
2007,450000,1900,30000
2011,156290,1500,14208
2015,190000,1700,27142
2008,130000,1700,9285
2013,198000,1400,22000
2011,137000,1500,12454
2002,78863,1900,3943
2004,320000,2000,17777
2014,165788,1998,20723
1996,280560,1998,10790
2006,265000,2000,16562
2007,187000,1400,12466
2017,216000,1422,43200
2012,108000,1600,10800
2016,135000,1400,22500
2001,300000,1995,14285
2004,279000,2500,15500
2016,155000,1499,25833
2005,260000,1990,15294
2001,132000,1800,6285
2012,130000,4700,13000
2003,199999,1800,10526
2017,21700,1798,4340
2000,190533,1800,8660
2006,181000,2700,11312
2011,132500,1400,12045
2015,112000,1600,16000
2006,261285,1100,16330
2015,96000,2000,13714
2007,174000,1500,11600
2016,167000,1500,27833
2015,75000,2000,10714
2011,131500,2400,11954
2010,189000,1500,15750
2017,156000,1500,31200
2003,217000,2500,11421
1997,61928,2500,2477
2017,158000,2000,31600
1994,224539,1800,8019
2009,268222,3500,20632
2005,140000,1400,8235
2002,217000,1800,10850
2009,345000,2000,26538
2017,145000,2000,29000
2005,145000,1200,8529
2008,300000,1400,21428
1995,259231,1800,9601
2003,135000,1400,7105
2001,276390,2000,13161
2001,203000,1800,9666
2017,88000,2000,17600
2008,182125,1500,13008
2013,299000,2200,33222
2008,163000,1400,11642
2019,6000,2000,2000
2009,219500,1400,16884
2008,290000,1999,20714
2015,83000,2000,11857
2007,180000,2000,12000
2006,152905,1400,9556
2015,154000,1500,22000
2016,164000,1500,27333
2015,99500,2000,14214
2003,421000,2200,22157
2015,180236,2000,25748
2012,213000,1300,21300
2020,36938,1500,18469
2005,301000,1396,17705
2020,7200,2000,3600
2008,98500,1400,7035
2016,120000,1600,20000
1987,457352,2000,13067
2018,53000,3000,13250
2012,194000,1500,19400
2008,199000,3000,14214
2015,86100,2000,12300
2013,148000,1400,16444
1984,86253,1450,2269
2011,125300,1200,11390
2007,275000,1900,18333
2008,215000,3000,15357
2014,45000,2200,5625
1993,228709,1998,7886
2008,180000,2300,12857
2014,140000,1690,17500
2007,300000,3000,20000
2001,286350,2000,13635
1994,11111,2000,396
2017,87695,2000,17539
2006,189000,1400,11812
2013,64263,2000,7140
2012,189000,1300,18900
2011,216887,2200,19717
2009,268000,2400,20615
2007,142000,1364,9466
2010,75000,1500,6250
2001,12345,1900,587
2008,249000,2400,17785
2012,120000,3000,12000
2017,159325,1600,31865
2005,30000,1800,1764
2015,207000,1500,29571
2011,196000,1464,17818
2013,190000,1600,21111
2013,170000,1500,18888
2012,167000,1500,16700
1998,280000,1400,11666
2005,200000,1598,11764
2018,40000,1300,10000
2008,324000,1587,23142
2005,300000,1400,17647
2007,243543,1500,16236
2019,94400,1499,31466
2000,250000,2200,11363
2013,178000,1500,19777
2008,159000,2000,11357
2011,41353,1800,3759
2002,209113,3000,10455
2007,200000,1300,13333
1994,186056,1600,6644
2012,226950,3489,22695
1987,267000,2000,7628
2006,145000,1600,9062
2012,89000,1445,8900
2015,163000,1995,23285
1994,446700,2200,15953
2004,140000,2800,7777
2016,178000,1422,29666
2016,55000,2000,9166
2016,150001,1500,25000
2003,280000,2700,14736
2002,250000,1800,12500
2017,68000,2000,13600
1996,366666,2000,14102
2016,87000,2000,14500
2006,258258,2200,16141
2014,160000,2500,20000
2012,85000,1600,8500
2001,280000,1400,13333
2009,273000,2500,21000
2008,187000,1400,13357
2019,24193,4500,8064
2006,153252,1200,9578
2004,200000,1600,11111
2004,280000,2500,15555
2008,220000,2200,15714
2019,45000,1460,15000
2006,330000,2990,20625
2008,185000,1400,13214
2011,202915,1598,18446
2011,185000,1500,16818
2019,44000,1460,14666
2006,350000,1998,21875
2006,233609,1497,14600
2018,132200,1499,33050
2003,290000,1600,15263
2017,61347,2000,12269
2016,165500,1500,27583
2012,260000,1500,26000
2005,276295,1400,16252
2018,114000,1800,28500
2013,130000,1600,14444
2011,200000,1500,18181
2009,188203,3500,14477
2008,178000,2300,12714
2006,100000,1500,6250
2015,180689,2000,25812
1993,25000,1800,862
2013,108000,3000,12000
2008,320000,1600,22857
2011,220212,1200,20019
2014,153200,2500,19150
2004,340000,1600,18888
2010,200000,2200,16666
2017,97000,1800,19400
2002,276000,2200,13800
2007,420212,1400,28014
2011,174000,1200,15818
2007,175000,1400,11666
2008,186000,1200,13285
2012,142000,1400,14200
2014,186000,1461,23250
2016,144000,2000,24000
2018,39000,1500,9750
2006,178744,3000,11171
1999,25000,1800,1086
2013,125190,1600,13910
2018,51000,1600,12750
2004,352713,1400,19595
2011,166000,1500,15090
2015,124000,1400,17714
2010,162000,1300,13500
2004,192625,2000,10701
2010,170000,1400,14166
2009,237000,1800,18230
2014,180000,1400,22500
2010,275000,1200,22916
2012,146141,1500,14614
2013,245000,2000,27222
2015,190000,1600,27142
2013,178500,2200,19833
2008,200000,1400,14285
2015,102000,1997,14571
1997,420000,1800,16800
2009,165000,1500,12692
2011,160000,1400,14545
2006,207000,1900,12937
2018,15914,2000,3978
2015,139000,2000,19857
2004,132000,2000,7333
1995,200000,2000,7407
2004,4200,1700,233
2006,286500,2362,17906
2013,170000,1500,18888
1992,23000,3200,766
2018,71000,1500,17750
2005,400000,1900,23529
2013,298545,2200,33171
2005,111111,1498,6535
2014,110809,4367,13851
2011,16700,1500,1518
2012,125650,1400,12565
2010,145000,1400,12083
2018,12000,3000,3000
2010,231000,2200,19250
2006,300000,1800,18750
2012,116000,1800,11600
2015,149000,2500,21285
1994,40000,1500,1428
2008,206300,1422,14735
2006,434396,2200,27149
1996,87000,1800,3346
2002,242034,3000,12101
2010,156235,1500,13019
2013,201000,1600,22333
2011,186244,2200,16931
2014,191403,2000,23925
2016,111000,1700,18500
2001,350080,2000,16670
2014,232900,1400,29112
2015,168000,1461,24000
2015,16300,1000,2328
2005,280132,2500,16478
2017,44000,2000,8800
2004,300000,2400,16666
1999,285000,3500,12391
2017,167000,1800,33400
2017,29000,1500,5800
2003,218253,1600,11487
2018,65000,1500,16250
2010,123000,1300,10250
2008,222000,1345,15857
2005,600000,1800,35294
2001,285000,1900,13571
2000,215456,1800,9793
2011,195000,1600,17727
2010,172000,1398,14333
2016,50000,1991,8333
2010,158000,1400,13166
2012,170000,2400,17000
2009,21000,1400,1615
2013,113000,1369,12555
2015,141700,1995,20242
2005,20000,1300,1176
2002,333718,2200,16685
2001,208000,2200,9904
2007,160000,4600,10666
2018,25371,2000,6342
2007,281813,1400,18787
2009,120000,1400,9230
2007,213000,1600,14200
1992,211000,2000,7033
2007,303303,1400,20220
2010,213911,3000,17825
2012,178000,1300,17800
2007,245000,1400,16333
2000,340522,2200,15478
1997,290000,2000,11600
2011,187000,1400,17000
2018,22325,2000,5581
2014,122281,1000,15285
2000,135000,1300,6136
2011,180000,1400,16363
2007,184267,1700,12284
2005,235000,1500,13823
2013,275000,2000,30555
2005,286000,2000,16823
2012,141000,3000,14100
2009,83000,1400,6384
2007,98000,1400,6533
1987,73000,2500,2085
2006,189001,1600,11812
2018,33000,1800,8250
2007,217000,2000,14466
2001,365000,2700,17380
2007,260000,1500,17333
2006,243666,1600,15229
2008,190533,1600,13609
2003,190000,2200,10000
2010,183600,1500,15300
2012,175000,1500,17500
2014,105000,1999,13125
2018,133922,2000,33480
2017,65000,2000,13000
2002,285000,2200,14250
2015,220000,2000,31428
2004,290000,1900,16111
2000,280000,1800,12727
2015,80972,1995,11567
2005,190000,4200,11176
2017,49700,3000,9940
2010,194000,1400,16166
2005,233300,2000,13723
2012,215000,1500,21500
2013,197000,1461,21888
2004,230000,2500,12777
2015,199000,1500,28428
2017,28000,2000,5600
2017,137000,1600,27400
2009,147000,1500,11307
2017,108000,2000,21600
2016,87017,5000,14502
2002,165000,2000,8250
2005,111111,1900,6535
2002,530890,2000,26544
2018,26029,2200,6507
2001,311133,3000,14815
2007,187000,3000,12466
2006,185546,1600,11596
2009,284336,3000,21872
2016,161000,1496,26833
2006,380000,1400,23750
2014,120000,1500,15000
2008,220000,1800,15714
2008,220000,2000,15714
2007,250000,2000,16666
2015,168862,1800,24123
2010,171000,1500,14250
2005,174630,1400,10272
2006,200000,1200,12500
2014,150000,2000,18750
2017,150000,1461,30000
2007,150000,1500,10000
1992,400183,2156,13339
1995,230000,1600,8518
1991,111111,1300,3584
2015,74000,1500,10571
2005,190000,1400,11176
2014,69143,1500,8642
2006,27000,1400,1687
2003,207000,2000,10894
2017,10000,2800,2000
2009,136000,1400,10461
2005,220000,2500,12941
2001,260000,1600,12380
2013,191000,2179,21222
2008,172000,2200,12285
2003,235000,1800,12368
1995,214794,1600,7955
2013,23000,2000,2555
1993,14000,1600,482
2014,173000,1400,21625
1993,23000,2000,793
2009,198000,1400,15230
1997,220000,2300,8800
2016,137000,2000,22833
1997,166762,2000,6670
1995,200000,1300,7407
2016,67000,1998,11166
1997,300000,1800,12000
2016,182000,2000,30333
2016,176000,1500,29333
2011,150000,1500,13636
2007,290039,2200,19335
2011,170000,1999,15454
2004,116000,1600,6444
2000,20000,1700,909
2018,95000,900,23750
2014,204000,2200,25500
2012,214729,1600,21472
2012,137000,1400,13700
2014,125000,2000,15625
2001,295000,1900,14047
2010,257000,2143,21416
2016,113000,1600,18833
2008,265000,3000,18928
2009,165200,2000,12707
2005,270500,1800,15911
2014,138000,1000,17250
2011,219643,1300,19967
2007,284678,1400,18978
2015,42700,2000,6100
2003,270000,2000,14210
2009,190000,3000,14615
2004,200000,1900,11111
2005,190000,2200,11176
2018,83000,2000,20750
2009,174000,1300,13384
2006,16000,2000,1000
2017,185222,1600,37044
2012,299131,1997,29913
2006,123456,1300,7716
2011,214567,1500,19506
2015,123263,1500,17609
2015,182000,1600,26000
2013,200000,2000,22222
2021,5000,3000,5000
2010,187000,1400,15583
2012,165000,1800,16500
2014,136000,3000,17000
2012,203000,1200,20300
2000,264000,1400,12000
2016,82300,1496,13716
2015,41000,1500,5857
2000,285300,2000,12968
2007,227000,1870,15133
2001,320000,3000,15238
2008,201182,3000,14370
2004,227629,2000,12646
2006,333000,3000,20812
2010,240000,1500,20000
1995,650000,2500,24074
1989,340000,4200,10303
2010,220000,2498,18333
2001,214567,1600,10217
2005,120000,1400,7058
2009,220000,1400,16923
2015,127200,1597,18171
2007,165000,1600,11000
2013,180000,1500,20000
2014,137000,1000,17125
2008,144001,3000,10285
2012,170000,1400,17000
2012,150000,2000,15000
2008,250000,2000,17857
2005,300000,2200,17647
2018,39212,1500,9803
2011,142414,1400,12946
2019,14000,1600,4666
1998,290000,2000,12083
2006,230000,2200,14375
2005,260041,3000,15296
2014,238000,1500,29750
2004,177000,1120,9833
2012,11444,2199,1144
2007,274000,2000,18266
2010,220124,1500,18343
2011,170200,1200,15472
2011,213518,1800,19410
2001,165793,1990,7894
2017,74576,4200,14915
2018,58326,2000,14581
2018,58550,2000,14637
1994,22222,2000,793
2012,152000,1400,15200
2009,305965,1400,23535
2017,92000,2000,18400
2006,285000,3000,17812
2017,150000,1995,30000
2008,74000,1998,5285
2005,450000,2400,26470
2010,163658,1800,13638
2015,129000,1481,18428
2014,182600,2143,22825
2019,42000,1460,14000
2001,297600,3200,14171
2004,180000,1500,10000
1986,165000,2400,4583
2012,150000,1800,15000
2006,111111,2000,6944
2010,178000,1798,14833
2009,164000,2500,12615
2012,389000,2000,38900
2010,172000,1400,14333
2004,260000,4700,14444
1994,300000,2400,10714
2006,306000,1461,19125
2004,299000,1500,16611
1993,3956,600,136
2013,170000,1500,18888
1992,22222,1400,740
